UniProtKB:P12270	TPR	Nucleoprotein TPR
UniProtKB:Q9H3S4	TPK1	Thiamin pyrophosphokinase 1
UniProtKB:Q9NP71	MLXIPL	Carbohydrate-responsive element-binding protein
UniProtKB:P15735	PHKG2	Phosphorylase b kinase gamma catalytic chain, liver/testis isoform
UniProtKB:Q9ULX6	AKAP8L	A-kinase anchor protein 8-like
UniProtKB:Q9H422	HIPK3	Homeodomain-interacting protein kinase 3
UniProtKB:P07585	DCN	Decorin
UniProtKB:Q9ULW0	TPX2	Targeting protein for Xklp2
UniProtKB:Q16795	NDUFA9	NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 9, mitochondrial
UniProtKB:P33993	MCM7	DNA replication licensing factor MCM7
UniProtKB:Q16774	GUK1	Guanylate kinase
UniProtKB:Q9H3N8	HRH4	Histamine H4 receptor
UniProtKB:P07550	ADRB2	Beta-2 adrenergic receptor
UniProtKB:Q16760	DGKD	Diacylglycerol kinase delta
UniProtKB:O43314	PPIP5K2	Inositol hexakisphosphate and diphosphoinositol-pentakisphosphate kinase 2
UniProtKB:O43320	FGF16	Fibroblast growth factor 16
UniProtKB:Q9ULP0	NDRG4	Protein NDRG4
UniProtKB:O43353	RIPK2	Receptor-interacting serine/threonine-protein kinase 2
UniProtKB:Q16718	NDUFA5	NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 5
UniProtKB:P49674	CSNK1E	Casein kinase I isoform epsilon
UniProtKB:Q9ULK5	VANGL2	Vang-like protein 2
UniProtKB:Q9H3E2	SNX25	Sorting nexin-25
UniProtKB:Q9ULJ8	PPP1R9A	Neurabin-1
UniProtKB:Q9H3C7	GGNBP2	Gametogenetin-binding protein 2
UniProtKB:Q96IZ7	RSRC1	Serine/Arginine-related protein 53
UniProtKB:O75208	COQ9	Ubiquinone biosynthesis protein COQ9, mitochondrial
UniProtKB:Q9ULH0	KIDINS220	Kinase D-interacting substrate of 220 kDa
UniProtKB:Q02078	MEF2A	Myocyte-specific enhancer factor 2A
UniProtKB:P49619	DGKG	Diacylglycerol kinase gamma
UniProtKB:P0DMM9	SULT1A3	Sulfotransferase 1A3
UniProtKB:Q96J92	WNK4	Serine/threonine-protein kinase WNK4
UniProtKB:Q96J84	KIRREL1	Kin of IRRE-like protein 1
UniProtKB:M0QYV0	M0QYV0	Uncharacterized protein
UniProtKB:Q9ULD8	KCNH3	Potassium voltage-gated channel subfamily H member 3
UniProtKB:Q9ULD0	OGDHL	2-oxoglutarate dehydrogenase-like, mitochondrial
UniProtKB:O75251	NDUFS7	NADH dehydrogenase [ubiquinone] iron-sulfur protein 7, mitochondrial
UniProtKB:O75815	BCAR3	Breast cancer anti-estrogen resistance protein 3
UniProtKB:P17706	PTPN2	Tyrosine-protein phosphatase non-receptor type 2
UniProtKB:O43930	PRKY	Putative serine/threonine-protein kinase PRKY
UniProtKB:O43920	NDUFS5	NADH dehydrogenase [ubiquinone] iron-sulfur protein 5
UniProtKB:Q06418	TYRO3	Tyrosine-protein kinase receptor TYRO3
UniProtKB:Q06413	MEF2C	Myocyte-specific enhancer factor 2C
UniProtKB:P0DMC3	APELA	Apelin receptor early endogenous ligand
UniProtKB:O95747	OXSR1	Serine/threonine-protein kinase OSR1
UniProtKB:P00797	REN	Renin
UniProtKB:P27987	ITPKB	Inositol-trisphosphate 3-kinase B
UniProtKB:P27986	PIK3R1	Phosphatidylinositol 3-kinase regulatory subunit alpha
UniProtKB:Q9UKZ4	TENM1	Teneurin-1
UniProtKB:Q16690	DUSP5	Dual specificity protein phosphatase 5
UniProtKB:Q9H2P0	ADNP	Activity-dependent neuroprotector homeobox protein
UniProtKB:P00734	F2	Prothrombin
UniProtKB:Q16671	AMHR2	Anti-Muellerian hormone type-2 receptor
UniProtKB:Q16667	CDKN3	Cyclin-dependent kinase inhibitor 3
UniProtKB:Q16665	HIF1A	Hypoxia-inducible factor 1-alpha
UniProtKB:Q96IF1	AJUBA	LIM domain-containing protein ajuba
UniProtKB:Q16659	MAPK6	Mitogen-activated protein kinase 6
UniProtKB:Q16654	PDK4	[Pyruvate dehydrogenase (acetyl-transferring)] kinase isozyme 4, mitochondrial
UniProtKB:Q16644	MAPKAPK3	MAP kinase-activated protein kinase 3
UniProtKB:O43435	TBX1	T-box transcription factor TBX1
UniProtKB:Q9NZH0	GPRC5B	G-protein coupled receptor family C group 5 member B
UniProtKB:P34947	GRK5	G protein-coupled receptor kinase 5
UniProtKB:P34925	RYK	Tyrosine-protein kinase RYK
UniProtKB:P61296	HAND2	Heart- and neural crest derivatives-expressed protein 2
UniProtKB:P61289	PSME3	Proteasome activator complex subunit 3
UniProtKB:Q9NZC2	TREM2	Triggering receptor expressed on myeloid cells 2
UniProtKB:P09769	FGR	Tyrosine-protein kinase Fgr
UniProtKB:Q03167	TGFBR3	Transforming growth factor beta receptor type 3
UniProtKB:Q6PJG6	BRAT1	BRCA1-associated ATM activator 1
UniProtKB:P56597	NME5	Nucleoside diphosphate kinase homolog 5
UniProtKB:Q6ZUJ8	PIK3AP1	Phosphoinositide 3-kinase adapter protein 1
UniProtKB:Q03135	CAV1	Caveolin-1
UniProtKB:P61225	RAP2B	Ras-related protein Rap-2b
UniProtKB:Q2M2I8	AAK1	AP2-associated protein kinase 1
UniProtKB:P56556	NDUFA6	NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 6
UniProtKB:Q03112	MECOM	MDS1 and EVI1 complex locus protein EVI1
UniProtKB:Q03111	MLLT1	Protein ENL
UniProtKB:Q9NYY8	FASTKD2	FAST kinase domain-containing protein 2, mitochondrial
UniProtKB:P56539	CAV3	Caveolin-3
UniProtKB:P56537	EIF6	Eukaryotic translation initiation factor 6
UniProtKB:Q9NYY1	IL20	Interleukin-20
UniProtKB:O15467	CCL16	C-C motif chemokine 16
UniProtKB:O14874	BCKDK	[3-methyl-2-oxobutanoate dehydrogenase [lipoamide]] kinase, mitochondrial
UniProtKB:O15455	TLR3	Toll-like receptor 3
UniProtKB:P04196	HRG	Histidine-rich glycoprotein
UniProtKB:O15444	CCL25	C-C motif chemokine 25
UniProtKB:Q6PIZ9	TRAT1	T-cell receptor-associated transmembrane adapter 1
UniProtKB:P04156	PRNP	Major prion protein
UniProtKB:Q13368	MPP3	MAGUK p55 subfamily member 3
UniProtKB:Q13363	CTBP1	C-terminal-binding protein 1
UniProtKB:Q9NYQ7	CELSR3	Cadherin EGF LAG seven-pass G-type receptor 3
UniProtKB:Q5T6J7	IDNK	Probable gluconokinase
UniProtKB:Q13322	GRB10	Growth factor receptor-bound protein 10
UniProtKB:P35225	IL13	Interleukin-13
UniProtKB:Q13319	CDK5R2	Cyclin-dependent kinase 5 activator 2
UniProtKB:Q13315	ATM	Serine-protein kinase ATM
UniProtKB:Q13308	PTK7	Inactive tyrosine-protein kinase 7
UniProtKB:Q9NYK1	TLR7	Toll-like receptor 7
UniProtKB:Q9BVS4	RIOK2	Serine/threonine-protein kinase RIO2
UniProtKB:P14373	TRIM27	Zinc finger protein RFP
UniProtKB:Q9NYF0	DACT1	Dapper homolog 1
UniProtKB:Q96SZ6	CDK5RAP1	CDK5 regulatory subunit-associated protein 1
UniProtKB:P34820	BMP8B	Bone morphogenetic protein 8B
UniProtKB:Q9P278	FNIP2	Folliculin-interacting protein 2
UniProtKB:Q9NYB9	ABI2	Abl interactor 2
UniProtKB:Q9P286	PAK5	Serine/threonine-protein kinase PAK 5
UniProtKB:Q9NYB0	TERF2IP	Telomeric repeat-binding factor 2-interacting protein 1
UniProtKB:P09669	COX6C	Cytochrome c oxidase subunit 6C
UniProtKB:Q9BVL2	NUP58	Nucleoporin p58/p45
UniProtKB:Q9NYA1	SPHK1	Sphingosine kinase 1
UniProtKB:P14317	HCLS1	Hematopoietic lineage cell-specific protein
UniProtKB:Q96T60	PNKP	Bifunctional polynucleotide phosphatase/kinase
UniProtKB:O14905	WNT9B	Protein Wnt-9b
UniProtKB:Q5T686	AVPI1	Arginine vasopressin-induced protein 1
UniProtKB:P09622	DLD	Dihydrolipoyl dehydrogenase, mitochondrial
UniProtKB:P09619	PDGFRB	Platelet-derived growth factor receptor beta
UniProtKB:O15399	GRIN2D	Glutamate receptor ionotropic, NMDA 2D
UniProtKB:O15392	BIRC5	Baculoviral IAP repeat-containing protein 5
UniProtKB:Q03014	HHEX	Hematopoietically-expressed homeobox protein HHEX
UniProtKB:P25098	GRK2	Beta-adrenergic receptor kinase 1
UniProtKB:P09603	CSF1	Macrophage colony-stimulating factor 1
UniProtKB:O15379	HDAC3	Histone deacetylase 3
UniProtKB:P60484	PTEN	Phosphatidylinositol 3,4,5-trisphosphate 3-phosphatase and dual-specificity protein phosphatase PTEN
UniProtKB:Q6P1S2	C3orf33	Protein C3orf33
UniProtKB:P49903	SEPHS1	Selenide, water dikinase 1
UniProtKB:P49902	NT5C2	Cytosolic purine 5'-nucleotidase
UniProtKB:O60346	PHLPP1	PH domain leucine-rich repeat-containing protein phosphatase 1
UniProtKB:Q96LW2	SGK494	Uncharacterized serine/threonine-protein kinase SgK494
UniProtKB:O60331	PIP5K1C	Phosphatidylinositol 4-phosphate 5-kinase type-1 gamma
UniProtKB:Q06787	FMR1	Synaptic functional regulator FMR1
UniProtKB:Q9C0K7	STRADB	STE20-related kinase adapter protein beta
UniProtKB:Q96M69	LRGUK	Leucine-rich repeat and guanylate kinase domain-containing protein
UniProtKB:O60315	ZEB2	Zinc finger E-box-binding homeobox 2
UniProtKB:Q96LT7	C9orf72	Guanine nucleotide exchange C9orf72
UniProtKB:Q6ZMJ4	IL34	Interleukin-34
UniProtKB:O60307	MAST3	Microtubule-associated serine/threonine-protein kinase 3
UniProtKB:Q6XUX3	DSTYK	Dual serine/threonine and tyrosine protein kinase
UniProtKB:P37173	TGFBR2	TGF-beta receptor type-2
UniProtKB:Q9C0C2	TNKS1BP1	182 kDa tankyrase-1-binding protein
UniProtKB:P32927	CSF2RB	Cytokine receptor common subunit beta
UniProtKB:Q9NQU5	PAK6	Serine/threonine-protein kinase PAK 6
UniProtKB:P19174	PLCG1	1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase gamma-1
UniProtKB:Q9NSA1	FGF21	Fibroblast growth factor 21
UniProtKB:P07766	CD3E	T-cell surface glycoprotein CD3 epsilon chain
UniProtKB:Q9NR23	GDF3	Growth/differentiation factor 3
UniProtKB:Q9NR20	DYRK4	Dual specificity tyrosine-phosphorylation-regulated kinase 4
UniProtKB:Q9NR09	BIRC6	Baculoviral IAP repeat-containing protein 6
UniProtKB:P07738	BPGM	Bisphosphoglycerate mutase
UniProtKB:Q9NR00	TCIM	Transcriptional and immune response regulator
UniProtKB:Q9H5K3	POMK	Protein O-mannose kinase
UniProtKB:Q9C098	DCLK3	Serine/threonine-protein kinase DCLK3
UniProtKB:Q5UE93	PIK3R6	Phosphoinositide 3-kinase regulatory subunit 6
UniProtKB:O43155	FLRT2	Leucine-rich repeat transmembrane protein FLRT2
UniProtKB:P22695	UQCRC2	Cytochrome b-c1 complex subunit 2, mitochondrial
UniProtKB:P22694	PRKACB	cAMP-dependent protein kinase catalytic subunit beta
UniProtKB:P22692	IGFBP4	Insulin-like growth factor-binding protein 4
UniProtKB:Q01101	INSM1	Insulinoma-associated protein 1
UniProtKB:Q9UNN5	FAF1	FAS-associated factor 1
UniProtKB:P22681	CBL	E3 ubiquitin-protein ligase CBL
UniProtKB:Q9UNM6	PSMD13	26S proteasome non-ATPase regulatory subunit 13
UniProtKB:O43181	NDUFS4	NADH dehydrogenase [ubiquinone] iron-sulfur protein 4, mitochondrial
UniProtKB:P0DP24	CALM2	Calmodulin-2
UniProtKB:P0DP23	CALM1	Calmodulin-1
UniProtKB:P05362	ICAM1	Intercellular adhesion molecule 1
UniProtKB:P49842	STK19	Serine/threonine-protein kinase 19
UniProtKB:P49841	GSK3B	Glycogen synthase kinase-3 beta
UniProtKB:P49840	GSK3A	Glycogen synthase kinase-3 alpha
UniProtKB:O60285	NUAK1	NUAK family SNF1-like kinase 1
UniProtKB:P29376	LTK	Leukocyte tyrosine kinase receptor
UniProtKB:P17980	PSMC3	26S proteasome regulatory subunit 6A
UniProtKB:Q9UNI6	DUSP12	Dual specificity protein phosphatase 12
UniProtKB:O60271	SPAG9	C-Jun-amino-terminal kinase-interacting protein 4
UniProtKB:Q9C010	PKIB	cAMP-dependent protein kinase inhibitor beta
UniProtKB:Q9UNH7	SNX6	Sorting nexin-6
UniProtKB:P49821	NDUFV1	NADH dehydrogenase [ubiquinone] flavoprotein 1, mitochondrial
UniProtKB:O60266	ADCY3	Adenylate cyclase type 3
UniProtKB:P29353	SHC1	SHC-transforming protein 1
UniProtKB:P29350	PTPN6	Tyrosine-protein phosphatase non-receptor type 6
UniProtKB:P49815	TSC2	Tuberin
UniProtKB:Q9UNG2	TNFSF18	Tumor necrosis factor ligand superfamily member 18
UniProtKB:Q96L96	ALPK3	Alpha-protein kinase 3
UniProtKB:P22612	PRKACG	cAMP-dependent protein kinase catalytic subunit gamma
UniProtKB:P22607	FGFR3	Fibroblast growth factor receptor 3
UniProtKB:P17948	FLT1	Vascular endothelial growth factor receptor 1
UniProtKB:O60239	SH3BP5	SH3 domain-binding protein 5
UniProtKB:O60234	GMFG	Glia maturation factor gamma
UniProtKB:Q96L73	NSD1	Histone-lysine N-methyltransferase, H3 lysine-36 and H4 lysine-20 specific
UniProtKB:P29323	EPHB2	Ephrin type-B receptor 2
UniProtKB:P29322	EPHA8	Ephrin type-A receptor 8
UniProtKB:P29320	EPHA3	Ephrin type-A receptor 3
UniProtKB:O60229	KALRN	Kalirin
UniProtKB:P29317	EPHA2	Ephrin type-A receptor 2
UniProtKB:P32881	IFNA8	Interferon alpha-8
UniProtKB:Q9UQ07	MOK	MAPK/MAK/MRK overlapping kinase
UniProtKB:Q9H596	DUSP21	Dual specificity protein phosphatase 21
UniProtKB:Q9H8X2	IPPK	Inositol-pentakisphosphate 2-kinase
UniProtKB:O95139	NDUFB6	NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 6
UniProtKB:Q9H8V3	ECT2	Protein ECT2
UniProtKB:Q9H8T0	AKTIP	AKT-interacting protein
UniProtKB:P98161	PKD1	Polycystin-1
UniProtKB:P98155	VLDLR	Very low-density lipoprotein receptor
UniProtKB:P19447	ERCC3	TFIIH basal transcription factor complex helicase XPB subunit
UniProtKB:P39905	GDNF	Glial cell line-derived neurotrophic factor
UniProtKB:P19438	TNFRSF1A	Tumor necrosis factor receptor superfamily member 1A
UniProtKB:P54886	ALDH18A1	Delta-1-pyrroline-5-carboxylate synthase
UniProtKB:Q9BQY9	DBNDD2	Dysbindin domain-containing protein 2
UniProtKB:P19404	NDUFV2	NADH dehydrogenase [ubiquinone] flavoprotein 2, mitochondrial
UniProtKB:Q01415	GALK2	N-acetylgalactosamine kinase
UniProtKB:P54851	EMP2	Epithelial membrane protein 2
UniProtKB:Q12860	CNTN1	Contactin-1
UniProtKB:Q9UQM7	CAMK2A	Calcium/calmodulin-dependent protein kinase type II subunit alpha
UniProtKB:Q969V5	MUL1	Mitochondrial ubiquitin ligase activator of NFKB 1
UniProtKB:P54819	AK2	Adenylate kinase 2, mitochondrial
UniProtKB:P35790	CHKA	Choline kinase alpha
UniProtKB:P05062	ALDOB	Fructose-bisphosphate aldolase B
UniProtKB:Q14CZ7	FASTKD3	FAST kinase domain-containing protein 3, mitochondrial
UniProtKB:Q9NTG7	SIRT3	NAD-dependent protein deacetylase sirtuin-3, mitochondrial
UniProtKB:O60583	CCNT2	Cyclin-T2
UniProtKB:O60566	BUB1B	Mitotic checkpoint serine/threonine-protein kinase BUB1 beta
UniProtKB:O60565	GREM1	Gremlin-1
UniProtKB:O60563	CCNT1	Cyclin-T1
UniProtKB:Q9NR96	TLR9	Toll-like receptor 9
UniProtKB:O60542	PSPN	Persephin
UniProtKB:Q9Y2I7	PIKFYVE	1-phosphatidylinositol 3-phosphate 5-kinase
UniProtKB:O60519	CREBL2	cAMP-responsive element-binding protein-like 2
UniProtKB:Q9UQB9	AURKC	Aurora kinase C
UniProtKB:O60504	SORBS3	Vinexin
UniProtKB:O60503	ADCY9	Adenylate cyclase type 9
UniProtKB:O60500	NPHS1	Nephrin
UniProtKB:P60953	CDC42	Cell division control protein 42 homolog
UniProtKB:P09104	ENO2	Gamma-enolase
UniProtKB:Q96S97	MYADM	Myeloid-associated differentiation marker
UniProtKB:Q9H875	PRKRIP1	PRKR-interacting protein 1
UniProtKB:Q9NSY0	NRBP2	Nuclear receptor-binding protein 2
UniProtKB:P39880	CUX1	Homeobox protein cut-like 1
UniProtKB:Q9NT99	LRRC4B	Leucine-rich repeat-containing protein 4B
UniProtKB:P39877	PLA2G5	Calcium-dependent phospholipase A2
UniProtKB:O95271	TNKS	Tankyrase-1
UniProtKB:P98082	DAB2	Disabled homolog 2
UniProtKB:P07996	THBS1	Thrombospondin-1
UniProtKB:P98077	SHC2	SHC-transforming protein 2
UniProtKB:P12644	BMP4	Bone morphogenetic protein 4
UniProtKB:P12643	BMP2	Bone morphogenetic protein 2
UniProtKB:Q9NRA1	PDGFC	Platelet-derived growth factor C
UniProtKB:O95294	RASAL1	RasGAP-activating-like protein 1
UniProtKB:P19367	HK1	Hexokinase-1
UniProtKB:Q5JZY3	EPHA10	Ephrin type-A receptor 10
UniProtKB:P50749	RASSF2	Ras association domain-containing protein 2
UniProtKB:P07949	RET	Proto-oncogene tyrosine-protein kinase receptor Ret
UniProtKB:P07948	LYN	Tyrosine-protein kinase Lyn
UniProtKB:P07947	YES1	Tyrosine-protein kinase Yes
UniProtKB:Q9NRC6	SPTBN5	Spectrin beta chain, non-erythrocytic 5
UniProtKB:Q01344	IL5RA	Interleukin-5 receptor subunit alpha
UniProtKB:Q9UPR0	PLCL2	Inactive phospholipase C-like protein 2
UniProtKB:Q9UPQ8	DOLK	Dolichol kinase
UniProtKB:Q9NRD5	PICK1	PRKCA-binding protein
UniProtKB:P54764	EPHA4	Ephrin type-A receptor 4
UniProtKB:Q86UE8	TLK2	Serine/threonine-protein kinase tousled-like 2
UniProtKB:Q86UE6	LRRTM1	Leucine-rich repeat transmembrane neuronal protein 1
UniProtKB:Q03426	MVK	Mevalonate kinase
UniProtKB:Q9BZF1	OSBPL8	Oxysterol-binding protein-related protein 8
UniProtKB:Q03405	PLAUR	Urokinase plasminogen activator surface receptor
UniProtKB:Q9BZE4	GTPBP4	Nucleolar GTP-binding protein 1
UniProtKB:O60260	PRKN	E3 ubiquitin-protein ligase parkin
UniProtKB:Q8IU85	CAMK1D	Calcium/calmodulin-dependent protein kinase type 1D
UniProtKB:Q9HA47	UCK1	Uridine-cytidine kinase 1
UniProtKB:Q5SY16	NOL9	Polynucleotide 5'-hydroxyl-kinase NOL9
UniProtKB:P24941	CDK2	Cyclin-dependent kinase 2
UniProtKB:Q8IU54	IFNL1	Interferon lambda-1
UniProtKB:Q13670	PMS2P11	Putative postmeiotic segregation increased 2-like protein 11
UniProtKB:Q08999	RBL2	Retinoblastoma-like protein 2
UniProtKB:Q86TW2	ADCK1	Uncharacterized aarF domain-containing protein kinase 1
UniProtKB:Q86TV6	TTC7B	Tetratricopeptide repeat protein 7B
UniProtKB:Q86U70	LDB1	LIM domain-binding protein 1
UniProtKB:Q13627	DYRK1A	Dual specificity tyrosine-phosphorylation-regulated kinase 1A
UniProtKB:P04406	GAPDH	Glyceraldehyde-3-phosphate dehydrogenase
UniProtKB:Q13618	CUL3	Cullin-3
UniProtKB:Q13616	CUL1	Cullin-1
UniProtKB:Q13610	PWP1	Periodic tryptophan protein 1 homolog
UniProtKB:Q86U42	PABPN1	Polyadenylate-binding protein 2
UniProtKB:P78423	CX3CL1	Fractalkine
UniProtKB:Q9BYT3	STK33	Serine/threonine-protein kinase 33
UniProtKB:P78406	RAE1	mRNA export factor
UniProtKB:Q5T9C9	PIP5KL1	Phosphatidylinositol 4-phosphate 5-kinase-like protein 1
UniProtKB:P46531	NOTCH1	Neurogenic locus notch homolog protein 1
UniProtKB:Q86TN4	TRPT1	tRNA 2'-phosphotransferase 1
UniProtKB:P46527	CDKN1B	Cyclin-dependent kinase inhibitor 1B
UniProtKB:Q9BYP7	WNK3	Serine/threonine-protein kinase WNK3
UniProtKB:P09972	ALDOC	Fructose-bisphosphate aldolase C
UniProtKB:P14618	PKM	Pyruvate kinase PKM
UniProtKB:P14616	INSRR	Insulin receptor-related protein
UniProtKB:Q9BYI3	FAM126A	Hyccin
UniProtKB:P09936	UCHL1	Ubiquitin carboxyl-terminal hydrolase isozyme L1
UniProtKB:Q6ZWH5	NEK10	Serine/threonine-protein kinase Nek10
UniProtKB:P09919	CSF3	Granulocyte colony-stimulating factor
UniProtKB:O14640	DVL1	Segment polarity protein dishevelled homolog DVL-1
UniProtKB:Q86TB3	ALPK2	Alpha-protein kinase 2
UniProtKB:P24864	CCNE1	G1/S-specific cyclin-E1
UniProtKB:Q9BYB0	SHANK3	SH3 and multiple ankyrin repeat domains protein 3
UniProtKB:P56706	WNT7B	Protein Wnt-7b
UniProtKB:P56704	WNT3A	Protein Wnt-3a
UniProtKB:Q13588	GRAP	GRB2-related adapter protein
UniProtKB:P36222	CHI3L1	Chitinase-3-like protein 1
